uf,tipo_area,sexo,idade,cor,pessoas_dom,freq_esc,nivel_instrucao,ocup_forca,trab_procurou,motivo_ntrab,serv_pub,ocup_cond,ocup_desc,ocup_cod,ocup_grupo,ocup_pos,ocup_pos2,carteira,ativ_cod,ativ_grupo,prev,ocup_horas,rendimento,rendimento_total
43,4,masculino,28,1,3,2.0,medio_inc,1.0,,,,1.0,pintor_empap,7131.0,7.0,5.0,9.0,,43000.0,3.0,1.0,3.0,3200.0,3200.0
33,4,feminino,44,1,3,2.0,fundamental_inc,1.0,,,,1.0,trab_limp_interior_edif_esc_hotel,9112.0,9.0,3.0,6.0,2.0,84013.0,8.0,1.0,3.0,937.0,937.0
35,2,feminino,12,4,4,1.0,fundamental_inc,,,,,,,,,,,,,,,,,
23,2,feminino,7,2,4,1.0,sem_instrucao,,,,,,,,,,,,,,,,,
27,4,masculino,18,4,8,2.0,medio_inc,1.0,,,,1.0,trab_element_constr_edif,9313.0,9.0,1.0,2.0,2.0,41000.0,3.0,2.0,3.0,800.0,800.0
26,1,feminino,49,4,2,2.0,medio,2.0,2.0,1.0,,,,,,,,,,,,,,
33,4,feminino,86,1,2,2.0,fundamental_inc,2.0,2.0,4.0,,,,,,,,,,,,,,
42,2,feminino,41,1,4,2.0,medio_inc,1.0,,,,1.0,trab_serv_domest,9111.0,9.0,2.0,4.0,2.0,97000.0,11.0,2.0,1.0,400.0,400.0
23,1,feminino,68,4,1,2.0,medio,2.0,2.0,4.0,,,,,,,,,,,,,,
32,4,feminino,56,4,3,2.0,fundamental_inc,1.0,,,,1.0,trab_serv_domest,9111.0,9.0,2.0,4.0,2.0,97000.0,11.0,2.0,1.0,800.0,800.0
28,4,masculino,18,1,4,1.0,medio_inc,1.0,,,,1.0,padeiro_confeit,7512.0,7.0,6.0,10.0,,48030.0,4.0,2.0,2.0,,
28,2,masculino,8,2,3,1.0,fundamental_inc,,,,,,,,,,,,,,,,,
15,4,feminino,1,4,4,,,,,,,,,,,,,,,,,,,
41,4,masculino,1,3,3,,,,,,,,,,,,,,,,,,,
25,2,feminino,24,4,5,2.0,medio,1.0,1.0,,,2.0,,,,,,,,,,,,
29,4,masculino,52,4,4,2.0,sem_instrucao,2.0,2.0,4.0,,,,,,,,,,,,,,
26,4,feminino,10,4,6,1.0,fundamental_inc,,,,,,,,,,,,,,,,,
33,1,feminino,20,4,5,2.0,medio_inc,1.0,1.0,,,2.0,,,,,,,,,,,,
31,2,masculino,18,4,4,2.0,medio,1.0,1.0,,,2.0,,,,,,,,,,,,
31,4,feminino,3,1,3,,,,,,,,,,,,,,,,,,,
27,4,masculino,16,4,6,1.0,sem_instrucao,2.0,2.0,4.0,,,,,,,,,,,,,,
35,4,masculino,43,1,6,2.0,fundamental_inc,1.0,,,,1.0,carregador,9333.0,9.0,1.0,1.0,1.0,17001.0,2.0,1.0,3.0,2000.0,2000.0
12,4,masculino,18,4,6,1.0,fundamental,2.0,2.0,2.0,,,,,,,,,,,,,,
23,4,feminino,56,4,3,2.0,sem_instrucao,2.0,2.0,1.0,,,,,,,,,,,,,,
29,4,masculino,53,4,2,2.0,sem_instrucao,1.0,,,,1.0,agricultor,6111.0,6.0,5.0,9.0,,1114.0,1.0,1.0,2.0,400.0,450.0
42,4,feminino,66,1,1,2.0,fundamental_inc,2.0,2.0,4.0,,,,,,,,,,,,,,
35,4,feminino,51,4,6,2.0,fundamental_inc,2.0,2.0,1.0,,,,,,,,,,,,,,
31,4,masculino,39,4,6,2.0,sem_instrucao,2.0,2.0,3.0,,,,,,,,,,,,,,
41,2,feminino,86,1,3,2.0,fundamental_inc,2.0,2.0,5.0,,,,,,,,,,,,,,
31,4,feminino,14,1,2,1.0,fundamental_inc,2.0,2.0,2.0,,,,,,,,,,,,,,
25,2,feminino,14,1,4,1.0,fundamental_inc,2.0,2.0,4.0,,,,,,,,,,,,,,
43,1,feminino,36,1,3,2.0,superior,1.0,,,,1.0,advogado_jurista,2611.0,2.0,1.0,1.0,1.0,85014.0,9.0,1.0,3.0,3000.0,3000.0
52,2,feminino,24,1,4,2.0,superior,1.0,1.0,,,2.0,,,,,,,,,,,,
31,4,masculino,3,4,5,,,,,,,,,,,,,,,,,,,
23,4,masculino,14,4,2,1.0,fundamental,2.0,2.0,2.0,,,,,,,,,,,,,,
21,4,masculino,89,4,4,2.0,sem_instrucao,2.0,2.0,3.0,,,,,,,,,,,,,,
27,4,feminino,2,1,3,,,,,,,,,,,,,,,,,,,
52,2,feminino,56,4,5,2.0,superior,1.0,,,,1.0,profis_enfermagem,2221.0,2.0,3.0,6.0,2.0,86001.0,9.0,1.0,5.0,1500.0,3000.0
42,1,masculino,12,1,5,1.0,fundamental_inc,,,,,,,,,,,,,,,,,
23,1,feminino,74,4,4,2.0,superior,2.0,2.0,4.0,,,,,,,,,,,,,,
52,1,feminino,9,2,2,1.0,fundamental_inc,,,,,,,,,,,,,,,,,
31,4,feminino,47,2,4,2.0,fundamental_inc,2.0,2.0,1.0,,,,,,,,,,,,,,
42,4,feminino,50,1,3,2.0,medio,1.0,,,,1.0,caixa_exped_bilhete,5230.0,5.0,1.0,1.0,1.0,68000.0,7.0,1.0,2.0,1500.0,1500.0
25,4,feminino,78,1,4,2.0,fundamental_inc,2.0,2.0,4.0,,,,,,,,,,,,,,
26,1,masculino,16,4,3,1.0,medio_inc,1.0,1.0,,,2.0,,,,,,,,,,,,
14,1,masculino,5,1,3,1.0,sem_instrucao,,,,,,,,,,,,,,,,,
29,4,masculino,58,4,3,2.0,medio,2.0,2.0,3.0,,,,,,,,,,,,,,
27,4,feminino,5,1,4,1.0,sem_instrucao,,,,,,,,,,,,,,,,,
43,1,feminino,32,2,2,2.0,fundamental_inc,1.0,1.0,,,2.0,,,,,,,,,,,,
15,4,feminino,39,1,3,2.0,medio,1.0,,,1.0,1.0,trab_comunit_saude,3253.0,3.0,3.0,7.0,,86002.0,9.0,1.0,3.0,1014.0,1014.0
22,4,masculino,89,4,4,2.0,sem_instrucao,2.0,2.0,5.0,,,,,,,,,,,,,,
28,1,masculino,17,4,5,1.0,medio_inc,1.0,1.0,,,2.0,,,,,,,,,,,,
52,1,masculino,76,4,3,2.0,fundamental_inc,2.0,2.0,4.0,,,,,,,,,,,,,,
43,4,masculino,54,1,6,2.0,fundamental_inc,1.0,,,,1.0,agricultor,6111.0,6.0,5.0,9.0,,1107.0,1.0,1.0,4.0,12500.0,12500.0
51,4,masculino,20,4,4,2.0,medio,1.0,,,,1.0,criador_gado,6121.0,6.0,1.0,2.0,2.0,1201.0,1.0,1.0,3.0,1200.0,1200.0
50,1,masculino,14,4,5,1.0,fundamental_inc,2.0,2.0,2.0,,,,,,,,,,,,,,
16,1,masculino,10,1,4,1.0,fundamental_inc,,,,,,,,,,,,,,,,,
29,1,feminino,28,2,4,2.0,medio,1.0,1.0,,,2.0,,,,,,,,,,,,
42,4,feminino,29,1,4,2.0,medio_inc,1.0,1.0,,,2.0,,,,,,,,,,,,
31,4,feminino,25,4,3,1.0,superior_inc,1.0,,,,1.0,caixa_exped_bilhete,5230.0,5.0,1.0,2.0,2.0,48030.0,4.0,2.0,3.0,937.0,937.0
27,4,masculino,8,1,4,1.0,fundamental_inc,,,,,,,,,,,,,,,,,
26,1,feminino,10,4,5,1.0,fundamental_inc,,,,,,,,,,,,,,,,,
53,1,masculino,4,1,4,,,,,,,,,,,,,,,,,,,
15,4,feminino,43,1,7,2.0,fundamental_inc,2.0,2.0,1.0,,,,,,,,,,,,,,
21,4,masculino,3,4,3,,,,,,,,,,,,,,,,,,,
12,4,masculino,27,4,8,2.0,medio,1.0,,,,1.0,guarda_seg,5414.0,5.0,3.0,6.0,2.0,84013.0,8.0,2.0,2.0,937.0,937.0
31,4,masculino,42,1,3,2.0,medio,1.0,,,,1.0,inst_autoesc,5165.0,5.0,1.0,1.0,1.0,85029.0,9.0,1.0,5.0,1800.0,1800.0
51,4,feminino,10,1,4,1.0,fundamental_inc,,,,,,,,,,,,,,,,,
31,4,feminino,38,1,4,2.0,superior,1.0,1.0,,,2.0,,,,,,,,,,,,
13,1,masculino,58,4,5,2.0,medio,1.0,,,,1.0,guarda_seg,5414.0,5.0,1.0,2.0,2.0,81012.0,7.0,2.0,5.0,800.0,800.0
42,1,masculino,28,1,3,2.0,medio_inc,1.0,,,,1.0,aplic_revest_ceram_past_ped_mad,7122.0,7.0,1.0,1.0,1.0,41000.0,3.0,1.0,3.0,1790.0,1790.0
17,4,masculino,46,4,2,2.0,medio,1.0,1.0,,,2.0,,,,,,,,,,,,
21,4,masculino,7,4,5,1.0,sem_instrucao,,,,,,,,,,,,,,,,,
31,1,feminino,54,4,4,2.0,fundamental_inc,1.0,,,,1.0,cozinheiro,5120.0,5.0,1.0,2.0,2.0,56011.0,6.0,2.0,3.0,1000.0,1000.0
35,4,masculino,44,1,2,2.0,fundamental_inc,1.0,,,,1.0,mec_ajust_eletric,7412.0,7.0,1.0,1.0,1.0,25002.0,2.0,1.0,3.0,1800.0,1800.0
52,4,masculino,0,1,3,,,,,,,,,,,,,,,,,,,
13,1,masculino,75,4,2,2.0,sem_instrucao,1.0,,,,1.0,vend_quiosque,5211.0,5.0,5.0,9.0,,48100.0,4.0,2.0,2.0,200.0,200.0
33,1,masculino,36,1,4,2.0,medio,1.0,,,,1.0,pedreiros,7112.0,7.0,5.0,9.0,,41000.0,3.0,2.0,5.0,2500.0,2500.0
43,4,masculino,54,1,5,2.0,fundamental,2.0,2.0,4.0,,,,,,,,,,,,,,
31,4,masculino,9,4,4,1.0,fundamental_inc,,,,,,,,,,,,,,,,,
42,4,masculino,75,4,3,2.0,sem_instrucao,2.0,2.0,4.0,,,,,,,,,,,,,,
33,4,masculino,52,1,3,2.0,fundamental_inc,1.0,,,,1.0,pedreiros,7112.0,7.0,5.0,9.0,,41000.0,3.0,2.0,3.0,1300.0,1300.0
31,1,feminino,47,1,4,2.0,medio_inc,1.0,,,,1.0,ajud_cozinha,9412.0,9.0,1.0,1.0,1.0,56012.0,6.0,1.0,4.0,937.0,937.0
12,1,feminino,87,4,4,2.0,sem_instrucao,2.0,2.0,4.0,,,,,,,,,,,,,,
23,2,feminino,41,4,3,2.0,medio,2.0,2.0,1.0,,,,,,,,,,,,,,
11,4,masculino,24,4,6,2.0,medio_inc,1.0,,,,1.0,magarefe,7511.0,7.0,1.0,1.0,1.0,48080.0,4.0,1.0,3.0,1100.0,1100.0
11,4,masculino,21,4,5,2.0,fundamental_inc,1.0,1.0,,,2.0,,,,,,,,,,,,
12,4,feminino,22,4,3,1.0,medio,2.0,2.0,2.0,,,,,,,,,,,,,,
32,1,masculino,14,4,5,1.0,fundamental,2.0,2.0,2.0,,,,,,,,,,,,,,
51,4,masculino,50,4,1,2.0,fundamental,2.0,2.0,3.0,,,,,,,,,,,,,,
27,4,feminino,2,4,3,,,,,,,,,,,,,,,,,,,
15,4,masculino,37,4,4,2.0,fundamental_inc,1.0,,,,1.0,op_maq_alim,8160.0,8.0,6.0,10.0,,10091.0,2.0,2.0,3.0,,
42,4,feminino,20,1,3,2.0,medio,1.0,1.0,,,2.0,,,,,,,,,,,,
42,2,masculino,53,4,3,2.0,fundamental_inc,1.0,,,,1.0,cond_carro_taxi_caminhonete,8322.0,8.0,5.0,9.0,,49030.0,5.0,1.0,5.0,2000.0,2000.0
31,1,feminino,52,4,3,2.0,fundamental_inc,1.0,,,,1.0,ajud_cozinha,9412.0,9.0,1.0,1.0,1.0,22020.0,2.0,1.0,2.0,600.0,600.0
29,1,masculino,4,4,4,,,,,,,,,,,,,,,,,,,
21,4,masculino,61,1,2,2.0,sem_instrucao,2.0,2.0,6.0,,,,,,,,,,,,,,
28,4,feminino,58,4,2,2.0,sem_instrucao,2.0,2.0,1.0,,,,,,,,,,,,,,
43,4,feminino,13,1,5,1.0,fundamental_inc,,,,,,,,,,,,,,,,,
35,4,masculino,7,4,5,1.0,fundamental_inc,,,,,,,,,,,,,,,,,
43,4,feminino,1,1,3,,,,,,,,,,,,,,,,,,,
21,4,feminino,8,4,5,1.0,fundamental_inc,,,,,,,,,,,,,,,,,
32,4,feminino,50,1,2,2.0,fundamental_inc,1.0,,,,1.0,agricultor,6111.0,6.0,6.0,10.0,,1113.0,1.0,2.0,2.0,,
43,4,masculino,20,1,5,2.0,fundamental,2.0,2.0,3.0,,,,,,,,,,,,,,
22,1,feminino,55,4,3,2.0,fundamental_inc,2.0,2.0,1.0,,,,,,,,,,,,,,
31,4,feminino,15,1,3,1.0,fundamental,2.0,2.0,2.0,,,,,,,,,,,,,,
27,1,masculino,58,1,4,2.0,medio,1.0,,,,1.0,eletric_obra,7411.0,7.0,5.0,9.0,,43000.0,3.0,2.0,2.0,937.0,937.0
41,4,masculino,14,1,3,1.0,fundamental,2.0,2.0,4.0,,,,,,,,,,,,,,
27,4,masculino,60,4,4,2.0,sem_instrucao,2.0,2.0,6.0,,,,,,,,,,,,,,
28,1,masculino,5,4,3,1.0,sem_instrucao,,,,,,,,,,,,,,,,,
29,4,masculino,49,2,1,2.0,sem_instrucao,1.0,1.0,,,2.0,,,,,,,,,,,,
22,4,feminino,40,4,5,1.0,sem_instrucao,2.0,2.0,1.0,,,,,,,,,,,,,,
28,4,masculino,39,4,5,2.0,sem_instrucao,2.0,2.0,3.0,,,,,,,,,,,,,,
50,4,masculino,48,4,2,2.0,fundamental_inc,1.0,,,,1.0,lavad_veic,9122.0,9.0,1.0,1.0,1.0,45010.0,4.0,1.0,3.0,1000.0,1000.0
42,4,feminino,13,1,3,1.0,fundamental_inc,,,,,,,,,,,,,,,,,
32,4,feminino,79,1,2,2.0,sem_instrucao,2.0,2.0,4.0,,,,,,,,,,,,,,
51,4,feminino,20,4,3,2.0,medio_inc,2.0,2.0,1.0,,,,,,,,,,,,,,
42,4,feminino,14,1,4,1.0,fundamental_inc,2.0,2.0,2.0,,,,,,,,,,,,,,
41,4,masculino,35,4,3,2.0,fundamental,1.0,,,,1.0,trab_element_jardinagem,9214.0,9.0,5.0,9.0,,81020.0,7.0,2.0,2.0,900.0,900.0
35,4,feminino,29,4,3,2.0,fundamental,1.0,,,,1.0,repositor_prateleira,9334.0,9.0,1.0,1.0,1.0,15020.0,2.0,1.0,3.0,1000.0,1000.0
35,2,masculino,75,4,4,2.0,fundamental,1.0,,,,1.0,outros_trab_element_ind_transf,9329.0,9.0,1.0,2.0,2.0,17002.0,2.0,2.0,3.0,100.0,100.0
32,4,feminino,17,4,4,1.0,medio_inc,2.0,2.0,2.0,,,,,,,,,,,,,,
31,1,masculino,56,4,2,2.0,fundamental_inc,1.0,,,,1.0,soldador_oxicortador,7212.0,7.0,1.0,1.0,1.0,43000.0,3.0,1.0,3.0,1600.0,1600.0
31,4,feminino,39,2,2,2.0,fundamental_inc,1.0,,,,1.0,trab_serv_domest,9111.0,9.0,2.0,3.0,1.0,97000.0,11.0,1.0,4.0,1874.0,1874.0
41,4,masculino,1,1,5,,,,,,,,,,,,,,,,,,,
52,1,masculino,26,1,3,2.0,medio_inc,1.0,,,,1.0,guarda_seg,5414.0,5.0,1.0,1.0,1.0,48080.0,4.0,1.0,3.0,937.0,937.0
23,2,feminino,16,4,5,1.0,fundamental_inc,2.0,2.0,4.0,,,,,,,,,,,,,,
42,4,feminino,51,1,2,2.0,fundamental_inc,2.0,2.0,1.0,,,,,,,,,,,,,,
23,4,feminino,56,1,2,2.0,fundamental_inc,1.0,,,,1.0,agricultor,6111.0,6.0,5.0,9.0,,1109.0,1.0,2.0,2.0,50.0,50.0
32,4,feminino,54,4,3,2.0,fundamental_inc,2.0,2.0,1.0,,,,,,,,,,,,,,
27,4,masculino,15,4,8,1.0,fundamental_inc,1.0,1.0,,,2.0,,,,,,,,,,,,
22,4,feminino,21,4,3,1.0,medio_inc,2.0,2.0,1.0,,,,,,,,,,,,,,
41,4,feminino,24,4,3,2.0,medio_inc,1.0,,,,1.0,vend_domiciliar,5243.0,5.0,5.0,9.0,,48042.0,4.0,2.0,2.0,2000.0,2000.0
35,2,masculino,66,1,4,2.0,superior,2.0,2.0,5.0,,,,,,,,,,,,,,
52,4,masculino,73,1,3,2.0,fundamental_inc,2.0,2.0,4.0,,,,,,,,,,,,,,
15,4,masculino,8,1,3,1.0,fundamental_inc,,,,,,,,,,,,,,,,,
23,4,masculino,66,4,3,2.0,fundamental_inc,2.0,2.0,6.0,,,,,,,,,,,,,,
29,4,masculino,16,2,3,2.0,fundamental_inc,2.0,2.0,2.0,,,,,,,,,,,,,,
52,4,masculino,23,1,2,2.0,fundamental_inc,1.0,,,2.0,1.0,escriturario_geral,4110.0,4.0,3.0,5.0,1.0,84012.0,8.0,1.0,3.0,1000.0,1000.0
42,4,masculino,58,1,2,2.0,fundamental_inc,1.0,,,,1.0,agricultor_horta_viv_jardim,6112.0,6.0,5.0,9.0,,48079.0,4.0,2.0,3.0,3000.0,3000.0
32,4,feminino,11,1,4,1.0,fundamental_inc,,,,,,,,,,,,,,,,,
43,4,masculino,44,1,4,2.0,superior,1.0,,,1.0,1.0,contador,2411.0,2.0,3.0,7.0,,84013.0,8.0,1.0,3.0,10500.0,10500.0
13,1,masculino,38,4,3,2.0,medio,2.0,2.0,5.0,,,,,,,,,,,,,,
31,4,feminino,70,4,2,2.0,fundamental_inc,2.0,2.0,4.0,,,,,,,,,,,,,,
31,2,masculino,14,1,3,1.0,fundamental_inc,2.0,2.0,2.0,,,,,,,,,,,,,,
31,4,masculino,33,4,6,2.0,fundamental_inc,1.0,,,,1.0,criador_gado,6121.0,6.0,5.0,9.0,,1201.0,1.0,2.0,5.0,900.0,900.0
33,2,feminino,24,1,4,2.0,medio,2.0,2.0,1.0,,,,,,,,,,,,,,
32,2,masculino,56,1,2,2.0,superior,1.0,,,2.0,1.0,agen_corret_bolsa_camb_financ,3311.0,3.0,3.0,5.0,1.0,64000.0,7.0,1.0,3.0,3500.0,3500.0
29,4,masculino,30,4,5,2.0,fundamental_inc,1.0,,,,1.0,agricultor,6111.0,6.0,5.0,9.0,,1114.0,1.0,2.0,2.0,600.0,650.0
35,2,feminino,13,1,6,1.0,fundamental_inc,,,,,,,,,,,,,,,,,
17,1,feminino,56,4,4,2.0,superior,1.0,,,1.0,1.0,escriturario_geral,4110.0,4.0,3.0,7.0,,84012.0,8.0,1.0,3.0,1800.0,1800.0
31,2,feminino,2,1,3,,,,,,,,,,,,,,,,,,,
50,1,feminino,5,4,3,1.0,sem_instrucao,,,,,,,,,,,,,,,,,
16,1,feminino,24,4,5,2.0,superior_inc,1.0,,,,1.0,balc_vend_loja,5223.0,5.0,1.0,1.0,1.0,48042.0,4.0,1.0,3.0,1200.0,1200.0
29,4,feminino,10,4,6,1.0,sem_instrucao,,,,,,,,,,,,,,,,,
29,4,feminino,71,4,2,2.0,sem_instrucao,2.0,2.0,4.0,,,,,,,,,,,,,,
42,4,masculino,78,1,2,2.0,fundamental_inc,2.0,2.0,4.0,,,,,,,,,,,,,,
35,4,feminino,43,1,4,2.0,medio,1.0,,,1.0,1.0,cozinheiro,5120.0,5.0,3.0,7.0,,85012.0,9.0,1.0,4.0,1300.0,1300.0
15,4,feminino,8,2,8,1.0,sem_instrucao,,,,,,,,,,,,,,,,,
17,1,feminino,26,1,2,1.0,superior_inc,1.0,,,,1.0,trab_contab_calc_custo,4311.0,4.0,1.0,1.0,1.0,86002.0,9.0,1.0,3.0,1800.0,1800.0
41,2,masculino,57,1,2,2.0,fundamental_inc,1.0,,,1.0,1.0,pedreiros,7112.0,7.0,3.0,7.0,,84013.0,8.0,1.0,3.0,2000.0,2000.0
51,4,masculino,52,4,3,2.0,fundamental_inc,1.0,,,,1.0,cozinheiro,5120.0,5.0,5.0,9.0,,56012.0,6.0,2.0,4.0,1000.0,1000.0
35,4,masculino,69,4,9,2.0,fundamental_inc,2.0,2.0,4.0,,,,,,,,,,,,,,
23,2,feminino,69,1,3,2.0,medio,1.0,,,,1.0,vend_quiosque,5211.0,5.0,5.0,9.0,,48100.0,4.0,2.0,2.0,700.0,700.0
26,4,feminino,6,1,4,1.0,sem_instrucao,,,,,,,,,,,,,,,,,
51,4,masculino,9,1,8,1.0,fundamental_inc,,,,,,,,,,,,,,,,,
35,4,feminino,37,4,5,2.0,medio,1.0,,,,1.0,supervisor_loja,5222.0,5.0,1.0,1.0,1.0,48071.0,4.0,1.0,3.0,2000.0,2600.0
35,4,masculino,77,1,2,2.0,medio,2.0,2.0,5.0,,,,,,,,,,,,,,
15,4,masculino,24,4,4,2.0,fundamental_inc,1.0,,,,1.0,pescador,6225.0,6.0,5.0,9.0,,3001.0,1.0,1.0,2.0,200.0,200.0
33,1,feminino,52,2,3,2.0,superior,1.0,,,1.0,1.0,prof_ensino_fund,2341.0,2.0,3.0,7.0,,85012.0,9.0,1.0,5.0,2000.0,4500.0
22,4,masculino,26,4,3,2.0,superior,1.0,,,2.0,1.0,contab_guarda_livros,3313.0,3.0,3.0,5.0,1.0,84013.0,8.0,1.0,2.0,2000.0,2000.0
27,4,masculino,37,4,5,2.0,fundamental_inc,1.0,,,,1.0,pedreiros,7112.0,7.0,5.0,9.0,,41000.0,3.0,2.0,2.0,1200.0,1200.0
41,4,feminino,57,1,3,2.0,medio,1.0,,,,1.0,caixa_exped_bilhete,5230.0,5.0,1.0,1.0,1.0,48073.0,4.0,1.0,3.0,2700.0,2700.0
14,1,feminino,33,4,2,2.0,medio,1.0,,,2.0,1.0,dirig_adm_pub,1112.0,1.0,3.0,6.0,2.0,84013.0,8.0,1.0,3.0,2000.0,2000.0
41,4,masculino,15,1,4,1.0,medio_inc,2.0,2.0,2.0,,,,,,,,,,,,,,
41,4,feminino,13,4,4,1.0,fundamental_inc,,,,,,,,,,,,,,,,,
43,4,masculino,17,4,7,2.0,medio_inc,1.0,,,,1.0,ajud_cozinha,9412.0,9.0,1.0,1.0,1.0,56011.0,6.0,1.0,3.0,1100.0,1100.0
31,4,masculino,3,4,7,,,,,,,,,,,,,,,,,,,
41,2,feminino,6,4,5,1.0,sem_instrucao,,,,,,,,,,,,,,,,,
13,4,feminino,2,4,3,,,,,,,,,,,,,,,,,,,
32,4,masculino,70,1,2,2.0,sem_instrucao,1.0,,,,1.0,agricultor,6111.0,6.0,5.0,9.0,,1113.0,1.0,1.0,2.0,400.0,400.0
29,4,masculino,6,4,2,1.0,sem_instrucao,,,,,,,,,,,,,,,,,
31,4,feminino,1,2,4,,,,,,,,,,,,,,,,,,,
52,2,masculino,15,3,4,1.0,fundamental_inc,1.0,,,,1.0,trab_element_agricult,9211.0,9.0,1.0,2.0,2.0,1108.0,1.0,2.0,2.0,200.0,200.0
27,4,masculino,6,4,9,1.0,sem_instrucao,,,,,,,,,,,,,,,,,
35,4,masculino,16,1,4,1.0,fundamental,2.0,2.0,4.0,,,,,,,,,,,,,,
32,1,masculino,38,4,5,2.0,medio,1.0,1.0,,,2.0,,,,,,,,,,,,
21,4,feminino,7,4,4,1.0,fundamental_inc,,,,,,,,,,,,,,,,,
42,4,feminino,73,1,3,2.0,fundamental_inc,2.0,2.0,4.0,,,,,,,,,,,,,,
23,4,masculino,52,4,7,2.0,sem_instrucao,1.0,,,,1.0,pedreiros,7112.0,7.0,5.0,9.0,,41000.0,3.0,2.0,2.0,200.0,200.0
21,4,masculino,49,4,1,2.0,fundamental_inc,2.0,2.0,6.0,,,,,,,,,,,,,,
51,2,masculino,3,1,6,,,,,,,,,,,,,,,,,,,
43,4,masculino,54,4,2,2.0,fundamental_inc,1.0,1.0,,,2.0,,,,,,,,,,,,
31,4,feminino,64,4,1,2.0,superior,2.0,2.0,5.0,,,,,,,,,,,,,,
35,1,feminino,86,2,7,2.0,fundamental_inc,2.0,2.0,1.0,,,,,,,,,,,,,,
29,4,masculino,61,4,4,2.0,fundamental_inc,1.0,,,,1.0,pedreiros,7112.0,7.0,4.0,8.0,,41000.0,3.0,2.0,2.0,640.0,0.0
15,4,masculino,43,4,3,2.0,fundamental_inc,1.0,,,,1.0,cond_caminhão_pesado,8332.0,8.0,3.0,6.0,2.0,84013.0,8.0,1.0,3.0,937.0,937.0
23,1,feminino,35,4,4,2.0,fundamental,1.0,,,,1.0,trab_serv_domest,9111.0,9.0,2.0,4.0,2.0,97000.0,11.0,2.0,3.0,700.0,700.0
26,4,feminino,38,1,3,2.0,medio,1.0,1.0,,,2.0,,,,,,,,,,,,
13,1,feminino,49,4,2,2.0,medio,1.0,,,,1.0,comerciante_loja,5221.0,5.0,4.0,8.0,,48030.0,4.0,2.0,3.0,1200.0,600.0
31,4,feminino,23,1,5,2.0,medio,1.0,,,,1.0,balc_vend_loja,5223.0,5.0,1.0,1.0,1.0,48050.0,4.0,1.0,3.0,1100.0,1100.0
51,4,feminino,57,4,2,2.0,medio,1.0,,,,1.0,cozinheiro,5120.0,5.0,3.0,6.0,2.0,85013.0,9.0,1.0,2.0,960.0,960.0
